      xC  |      f(xC)
 0.712093  |     0.084602
 0.736428  |     0.070062
 0.760763  |     0.067614
 0.748743  |     0.066332
 0.749334  |     0.064160
 0.768545  |     0.057901
 0.779949  |     0.054782
 0.796437  |     0.046230
 0.819064  |     0.034982
 0.841690  |     0.026341
 0.876593  |     0.015431
 0.911496  |     0.008123
 0.970951  |     0.003071
 0.970290  |     0.000941
 0.999521  |     0.000063
 0.987452  |     0.000158
 0.998108  |     0.000686
 0.984081  |     0.000357
 0.989273  |     0.000186
 0.986845  |     0.000187
 0.991953  |     0.000066
 0.997145  |     0.000008
 1.002337  |     0.000005
 0.999804  |     0.000022
 0.999108  |     0.000002
 0.999240  |     0.000002
 0.999621  |     0.000000
 1.000867  |     0.000001
       xC  |        f(xC)
 0.500000  |  6806.500000
 0.500000  |  6806.500000
-1.500000  |  1062.500000
-1.500000  |  1062.500000
-0.750000  |   115.953125
-0.750000  |   115.953125
 0.625000  |    90.985352
-0.031250  |    69.480930
-0.656250  |    94.895664
-0.625000  |     5.594727
-0.625000  |     5.594727
-0.226562  |     1.729362
-0.369141  |     4.005030
-0.205566  |     1.544910
 0.102783  |     1.024202
-0.015198  |     1.216685
 0.047592  |     0.916203
 0.047592  |     0.916203
 0.061640  |     0.881406
 0.140052  |     0.805385
 0.134496  |     0.769583
 0.199020  |     0.674468
 0.234807  |     0.625783
 0.273851  |     0.529430
 0.312896  |     0.478147
 0.423514  |     0.344867
 0.434904  |     0.319501
 0.573997  |     0.271086
 0.550614  |     0.216068
 0.546314  |     0.220712
 0.608940  |     0.153160
 0.653760  |     0.121877
 0.729993  |     0.090462
 0.728944  |     0.074657
 0.802553  |     0.039133
 0.845143  |     0.024502
 0.920595  |     0.006404
 0.924869  |     0.016230
 0.935663  |     0.006676
 0.987390  |     0.000215
 0.958828  |     0.003533
 0.977551  |     0.001005
 0.996273  |     0.000040
 0.996273  |     0.000040
 1.002697  |     0.000025
 0.990978  |     0.000101
 0.996555  |     0.000012
 1.000833  |     0.000007
 0.999113  |     0.000001
 1.000800  |     0.000004
 0.998675  |     0.000003
 0.999425  |     0.000001
 1.000176  |     0.000000
 0.999905  |     0.000000
       xC  |        f(xC)
 0.500000  |  7656.500000
 0.500000  |  7656.500000
-1.625000  |  1012.969727
-1.625000  |  1012.969727
-0.828125  |   105.255404
-0.894531  |   708.434385
-0.512695  |   249.900281
 0.506348  |    85.732364
-0.190918  |    61.152094
-0.697266  |   101.160118
-0.506348  |    19.229062
-0.506348  |    19.229062
-0.142151  |     1.383141
 0.071075  |     0.948024
 0.071075  |     0.948024
 0.071075  |     0.948024
 0.071075  |     0.948024
 0.021935  |     0.962363
 0.062957  |     0.881582
 0.135457  |     0.845806
 0.139268  |     0.787458
 0.221294  |     0.729837
 0.204598  |     0.677639
 0.244884  |     0.574099
 0.329872  |     0.449171
 0.452938  |     0.299411
 0.452938  |     0.299411
 0.521782  |     0.233069
 0.600071  |     0.216111
 0.649343  |     0.126268
 0.649343  |     0.126268
 0.662757  |     0.114205
 0.772389  |     0.058540
 0.772389  |     0.058540
 0.778998  |     0.049940
 0.863946  |     0.030133
 0.849319  |     0.024001
 0.897699  |     0.010517
 0.870977  |     0.021289
 0.890174  |     0.013763
 0.930643  |     0.004824
 0.962032  |     0.003386
 0.949645  |     0.002755
 0.962874  |     0.001467
 0.988490  |     0.000164
 0.988490  |     0.000164
 0.990353  |     0.000185
 0.992263  |     0.000064
 1.003627  |     0.000013
 0.997468  |     0.000018
 0.997360  |     0.000010
 1.000521  |     0.000001
 0.999186  |     0.000002
 1.000432  |     0.000000
 0.999006  |     0.000001
       xC  |        f(xC)
 0.500000  |  8556.500000
 0.500000  |  8556.500000
-1.750000  |   945.453125
-1.750000  |   945.453125
-0.906250  |    92.810825
-0.976562  |   719.593389
-0.572266  |   254.503874
 0.536133  |    99.209300
-0.202148  |    68.042121
-0.738281  |   106.938018
-0.536133  |    20.006520
-0.536133  |    20.006520
-0.150513  |     1.404519
 0.075256  |     0.952537
 0.075256  |     0.952537
 0.075256  |     0.952537
 0.075256  |     0.952537
 0.023226  |     0.960489
 0.066660  |     0.875400
 0.143425  |     0.851726
 0.147460  |     0.784734
 0.181790  |     0.690289
 0.216120  |     0.619583
 0.302971  |     0.610223
 0.285293  |     0.541952
 0.327948  |     0.459379
 0.370604  |     0.397414
 0.413260  |     0.344660
 0.455915  |     0.297667
 0.498571  |     0.260930
 0.470229  |     0.306827
 0.489147  |     0.262998
 0.527020  |     0.240229
 0.536541  |     0.217741
 0.598218  |     0.172269
 0.592320  |     0.166640
 0.625575  |     0.140808
 0.700930  |     0.098077
 0.715345  |     0.085500
 0.784803  |     0.092083
 0.760886  |     0.071347
 0.732218  |     0.071850
 0.753800  |     0.060633
 0.791006  |     0.044016
 0.828213  |     0.033128
 0.853501  |     0.021915
 0.878790  |     0.014715
 0.915996  |     0.017521
 0.916359  |     0.008693
 0.929548  |     0.007370
